SHEET_NAME,CROP_MASTER_DATA
Crop_ID,Crop_Name_English,Crop_Name_Telugu,Crop_Name_Hindi,Climate_Tropical,Climate_Subtropical,Climate_Temperate,Climate_Arid,Season_Kharif,Season_Rabi,Season_Zaid,Soil_Clay,Soil_Sandy,Soil_Loamy,Soil_Black,Soil_Red,Soil_Alluvial,pH_Minimum,pH_Maximum,Nitrogen_Min_Percent,Nitrogen_Max_Percent,Phosphorus_Min_Percent,Phosphorus_Max_Percent,Potassium_Min_Percent,Potassium_Max_Percent,Water_Requirement_Min_mm,Water_Requirement_Max_mm,Growth_Duration_Days,Irrigation_Method,Fertilizer_Primary,Fertilizer_Secondary,Market_Value,Export_Potential,Crop_Type,Special_Requirements
rice,Rice,వరి,चावल,1,1,0,0,1,0,0,1,0,1,0,0,1,5.5,7.0,80,120,40,60,40,60,1200,1500,120,Flood/Drip,Urea,SSP+MOP,High,Medium,Cereal,Standing_Water
wheat,Wheat,గోధుమ,गेहूं,0,1,1,0,0,1,0,0,0,1,0,0,1,6.0,7.5,100,150,50,80,40,60,400,600,120,Sprinkler/Furrow,NPK_12:32:16,Urea_Top_Dressing,High,High,Cereal,Cool_Weather
cotton,Cotton,పత్తి,कपास,1,1,0,0,1,0,0,0,0,1,1,0,1,6.0,8.0,100,150,50,75,50,75,700,1300,180,Drip,NPK_19:19:19,Zinc_Sulfate,Very_High,Very_High,Cash_Crop,Long_Duration
maize,Maize,మొక్కజొన్న,मक्का,1,1,1,0,1,1,0,0,1,1,0,0,1,5.5,7.5,120,150,60,80,40,60,500,800,100,Furrow/Sprinkler,DAP+MOP,Urea_Split,High,Medium,Cereal,Critical_Tasseling
sugarcane,Sugarcane,చెరకు,गन्ना,1,1,0,0,1,0,0,0,0,1,0,0,1,6.0,7.5,200,300,80,120,100,150,2000,2500,365,Drip/Furrow,FYM+Urea,SSP+MOP,Very_High,High,Cash_Crop,Heavy_Water
groundnut,Groundnut,వేరుశెనగ,मूंगफली,1,1,0,0,1,1,0,0,1,1,0,1,0,6.0,7.0,20,40,40,60,40,60,500,750,120,Drip,Gypsum,Phosphorus_Rich,High,Medium,Oilseed,Nitrogen_Fixing
tomato,Tomato,టమాటో,टमाटर,0,1,1,0,0,1,1,0,1,1,0,1,0,6.0,7.0,100,150,50,75,50,75,400,600,120,Drip,NPK_Balanced,Micronutrients,Very_High,Low,Vegetable,Regular_Irrigation
potato,Potato,బంగాళాదుంప,आलू,0,1,1,0,0,1,0,0,1,1,0,0,0,5.5,6.5,120,180,80,120,100,150,500,700,100,Sprinkler/Drip,FYM+NPK,Foliar_Spray,High,Low,Tuber,Cool_Weather

SHEET_NAME,SOIL_PARAMETERS_MATRIX
Soil_Type,Climate_Zone,pH_Typical,pH_Minimum,pH_Maximum,Nitrogen_Min_Percent,Nitrogen_Max_Percent,Phosphorus_Min_Percent,Phosphorus_Max_Percent,Potassium_Min_Percent,Potassium_Max_Percent,Nutrient_Status,Fertility_Level,Water_Holding_Capacity,Drainage_Characteristics,Suitable_Crops_Primary,Suitable_Crops_Secondary,Fertilizer_Recommendation,Organic_Matter_Requirement,Micronutrient_Needs,Management_Priority
clay,tropical,6.5,6.0,7.5,40,60,30,50,35,55,Medium,Moderate,High,Poor,"rice,wheat,sugarcane","cotton,maize",Balanced_NPK,Medium,Iron_Zinc,Drainage_Improvement
clay,subtropical,6.5,6.0,7.5,45,65,35,55,40,60,Medium_High,Good,High,Poor,"wheat,cotton,sugarcane","rice,potato",NPK_with_Micronutrients,Medium,Zinc_Boron,Water_Management
clay,temperate,6.5,6.0,7.5,50,70,40,60,45,65,High,Good,High,Moderate,"wheat,potato,maize","tomato,cotton",Maintenance_Fertilization,Low,Micronutrient_Mix,Soil_Structure
clay,arid,6.5,6.0,7.5,35,55,25,45,30,50,Medium,Moderate,High,Poor,"cotton,groundnut","wheat,maize",Organic_Matter_Addition,High,Complete_Micronutrients,Water_Conservation
sandy,tropical,6.0,5.5,6.8,20,35,15,30,20,40,Low_Medium,Low,Low,Excellent,"groundnut,maize,tomato","cotton,potato",Frequent_Light_Application,High,All_Micronutrients,Nutrient_Retention
sandy,subtropical,6.0,5.5,6.8,25,40,20,35,25,45,Medium,Moderate,Low,Excellent,"maize,tomato,potato","groundnut,wheat",Split_Application_NPK,High,Iron_Manganese,Organic_Matter
sandy,temperate,6.0,5.5,6.8,30,45,25,40,30,50,Medium,Moderate,Low,Excellent,"potato,tomato,maize","wheat,groundnut",Organic_Matter_NPK,High,Complete_Mix,Fertility_Building
sandy,arid,6.0,5.5,6.8,15,30,10,25,15,35,Low,Low,Low,Excellent,"groundnut,cotton","maize,tomato",Heavy_Organic_Amendment,Very_High,All_Essential,Soil_Building
loamy,tropical,6.8,6.5,7.5,50,70,40,60,45,65,High,High,Moderate,Good,"rice,maize,sugarcane,cotton","wheat,tomato",Balanced_Maintenance,Low,Zinc_Iron,Precision_Management
loamy,subtropical,6.8,6.5,7.5,55,75,45,65,50,70,High,Very_High,Moderate,Good,"wheat,cotton,tomato,potato","rice,maize",Precision_Fertilization,Low,Boron_Zinc,Nutrient_Monitoring
loamy,temperate,6.8,6.5,7.5,60,80,50,70,55,75,Very_High,Excellent,Moderate,Good,"wheat,potato,tomato,maize","cotton,rice",Nutrient_Management,Very_Low,Micronutrient_Monitoring,Optimization
loamy,arid,6.8,6.5,7.5,40,60,30,50,35,55,Medium_High,Good,Moderate,Good,"cotton,groundnut,maize","wheat,tomato",Water_Soluble_Fertilizers,Medium,Iron_Zinc_Boron,Water_Efficiency
black,tropical,7.5,7.0,8.5,45,65,35,55,40,60,Medium_High,Good,High,Poor,"cotton,sugarcane,wheat","rice,maize",Micronutrient_Addition,Medium,Zinc_Iron_Boron,Micronutrient_Focus
black,subtropical,7.5,7.0,8.5,50,70,40,60,45,65,High,Very_High,High,Poor,"cotton,wheat,sugarcane","maize,tomato",Zinc_Iron_Addition,Low,Zinc_Iron_Manganese,Micronutrient_Management
black,temperate,7.5,7.0,8.5,55,75,45,65,50,70,High,Excellent,High,Moderate,"wheat,cotton","potato,maize",Balanced_with_Micronutrients,Low,Complete_Micronutrients,Nutrient_Balance
black,arid,7.5,7.0,8.5,40,60,30,50,35,55,Medium_High,Good,High,Poor,"cotton,wheat","groundnut,maize",Gypsum_Addition,Medium,Zinc_Iron_Sulfur,Salinity_Management
red,tropical,6.2,5.5,7.0,30,50,25,45,30,50,Medium,Moderate,Moderate,Good,"groundnut,tomato,potato","maize,cotton",Lime_NPK_Addition,High,Iron_Aluminum_Management,pH_Correction
red,subtropical,6.2,5.5,7.0,35,55,30,50,35,55,Medium,Moderate,Moderate,Good,"tomato,potato,groundnut","maize,wheat",Phosphorus_Enhancement,Medium,Iron_Zinc_Boron,Phosphorus_Fixation
red,temperate,6.2,5.5,7.0,40,60,35,55,40,60,Medium_High,Good,Moderate,Good,"potato,tomato","wheat,maize",Organic_Matter_NPK,Medium,Iron_Manganese,Organic_Building
red,arid,6.2,5.5,7.0,25,45,20,40,25,45,Medium,Moderate,Moderate,Good,"groundnut,cotton","tomato,maize",Water_Conservation_Fertilizers,High,Complete_Micronutrients,Water_Nutrient_Efficiency
alluvial,tropical,7.0,6.5,7.8,55,75,45,65,50,70,High,Very_High,Moderate,Good,"rice,wheat,maize,sugarcane","cotton,tomato",Precision_Application,Low,Monitoring_Based,Precision_Agriculture
alluvial,subtropical,7.0,6.5,7.8,60,80,50,70,55,75,Very_High,Excellent,Moderate,Good,"wheat,rice,cotton,maize","tomato,potato",Nutrient_Monitoring,Very_Low,Soil_Test_Based,Advanced_Management
alluvial,temperate,7.0,6.5,7.8,65,85,55,75,60,80,Very_High,Excellent,Moderate,Excellent,"wheat,potato,maize","tomato,rice",Soil_Test_Based,Very_Low,Precision_Application,Technology_Integration
alluvial,arid,7.0,6.5,7.8,45,65,35,55,40,60,High,Very_High,Moderate,Good,"wheat,cotton,maize","rice,groundnut",Efficient_Fertilizer_Use,Low,Water_Soluble_Micronutrients,Resource_Optimization

SHEET_NAME,IRRIGATION_SCHEDULES_DETAILED
Crop_Name,Growth_Stage_English,Growth_Stage_Telugu,Growth_Stage_Hindi,Days_Start,Days_End,Irrigation_Frequency_English,Irrigation_Frequency_Telugu,Irrigation_Frequency_Hindi,Water_Depth_cm_Min,Water_Depth_cm_Max,Critical_Period,Water_Stress_Sensitivity,Season_Applicability,Irrigation_Method_Primary,Irrigation_Method_Secondary,Water_Quality_Requirements,Timing_Flexibility,Weather_Dependency,Yield_Impact_High,Yield_Impact_Medium,Management_Notes
rice,Land_Preparation,భూమి_తయారీ,भूमि_तैयारी,0,7,Continuous_flooding,నిరంతర_వరదలు,निरंतर_बाढ़,5,7,Yes,Very_High,Kharif,Flood,Basin,Normal,Low,High,Yes,No,Maintain_standing_water_5-10cm
rice,Transplanting,నాటడం,रोपाई,7,10,Daily,ప్రతిరోజు,दैनिक,2,3,Yes,Very_High,Kharif,Flood,Sprinkler,Normal,Low,High,Yes,No,Light_frequent_irrigation_for_establishment
rice,Tillering,టిల్లరింగ్,कल्ले_फूटना,10,40,Every_2-3_days,ప్రతి_2-3_రోజులు,हर_2-3_दिन,5,5,No,Medium,Kharif,Flood,Check_Basin,Normal,Medium,Medium,No,Yes,Maintain_soil_moisture_not_waterlogged
rice,Panicle_Initiation,పానికల్_ఇనిషియేషన్,बाली_आरंभ,40,60,Every_2_days,ప్రతి_2_రోజులు,हर_2_दिन,5,7,Yes,Very_High,Kharif,Flood,Drip,Normal,Low,High,Yes,No,Critical_for_panicle_development
rice,Flowering,పుష్పించడం,फूल_आना,60,90,Every_2_days,ప్రతి_2_రోజులు,हर_2_दिन,5,5,Yes,Extremely_High,Kharif,Flood,Micro_Sprinkler,Good,Very_Low,Very_High,Yes,No,Most_critical_stage_for_yield
rice,Grain_Filling,ధాన్యం_నింపడం,दाना_भरना,90,110,Every_3-4_days,ప్రతి_3-4_రోజులు,हर_3-4_दिन,3,5,Yes,High,Kharif,Flood,Drip,Normal,Medium,High,Yes,No,Gradual_water_reduction
rice,Maturity,పరిపక్వత,परिपक्वता,110,120,Stop_irrigation,నీటిపారుదల_ఆపండి,सिंचाई_बंद_करें,0,0,No,Low,Kharif,None,None,NA,High,Low,No,No,Stop_10_days_before_harvest
wheat,Crown_Root_Initiation,క్రౌన్_రూట్_ఇనిషియేషన్,क्राउन_रूट_आरंभ,20,25,First_irrigation,మొదటి_నీటిపారుదల,पहली_सिंचाई,5,6,Yes,High,Rabi,Furrow,Sprinkler,Normal,Medium,Medium,Yes,No,Establish_strong_root_system
wheat,Tillering,టిల్లరింగ్,कल्ले_फूटना,40,45,Second_irrigation,రెండవ_నీటిపారుదల,दूसरी_सिंचाई,5,6,No,Medium,Rabi,Furrow,Basin,Normal,High,Low,No,Yes,Promote_tillering_and_biomass
wheat,Jointing,జాయింటింగ్,गांठ_बनना,60,65,Third_irrigation,మూడవ_నీటిపారుదల,तीसरी_सिंचाई,6,7,Yes,High,Rabi,Furrow,Sprinkler,Normal,Medium,Medium,Yes,No,Critical_for_stem_elongation
wheat,Flowering,పుష్పించడం,फूल_आना,80,85,Fourth_irrigation,నాల్గవ_నీటిపారుదల,चौथी_सिंचाई,6,7,Yes,Very_High,Rabi,Furrow,Drip,Good,Low,High,Yes,No,Critical_for_grain_set
wheat,Milk_Stage,మిల్క్_స్టేజ్,दूध_अवस्था,100,105,Fifth_irrigation,ఐదవ_నీటిపారుదల,पांचवीं_सिंचाई,5,6,Yes,High,Rabi,Furrow,Sprinkler,Normal,Medium,High,Yes,No,Important_for_grain_development
